time,open,high,low,close,volume
2018-01-26T08:00:00Z,11018,11033,10430,10713,-459.5260247399885
2018-01-26T09:00:00Z,10731,10742,10276,10470,155.58980063000124
2018-01-26T10:00:00Z,10460,10611,10333.61093787,10494,559.6618882600021
2018-01-26T11:00:00Z,10496,10555,10346,10490,-57.42871740000012
2018-01-26T12:00:00Z,10485,10649,10365,10583,268.2919926499975
2018-01-26T13:00:00Z,10583,10733,10478,10495,904.6930391699972
2018-01-26T14:00:00Z,10496,10796,10495,10772,1132.824719520017
2018-01-26T15:00:00Z,10772,11033,10733,11026,366.85323642999646
2018-01-26T16:00:00Z,11025,11229,11025,11066,577.7143484500044
2018-01-26T17:00:00Z,11067,11141,10938,11138,8.213204220000426
2018-01-26T18:00:00Z,11137,11156,10948,10986,-167.9841584100003
2018-01-26T19:00:00Z,10986,11030,10847,10903,-242.90001580000023
2018-01-26T20:00:00Z,10903,11044,10902,10959,141.9324541199984
2018-01-26T21:00:00Z,10955,10963,10783,10863,-230.714234830002
2018-01-26T22:00:00Z,10863,10913.89090331,10751,10770,-223.73133689999983
2018-01-26T23:00:00Z,10772,11164,10771,11070,29.447524880000632
2018-01-27T00:00:00Z,11069,11180,11051,11078,50.40358894000015
2018-01-27T01:00:00Z,11076,11080,10910,10963,-142.46415897000094
2018-01-27T02:00:00Z,10949,11250,10863,11108,349.8109334700001
2018-01-27T03:00:00Z,11108,11155,10951,10995,107.56862539999985
2018-01-27T04:00:00Z,10997,11155,10986,11020,123.03232894999992
2018-01-27T05:00:00Z,11021,11300,10997,11227,938.9100707899979
2018-01-27T06:00:00Z,11226,11444,11203,11322,885.7304711199961
2018-01-27T07:00:00Z,11322,11329,11130,11219,-252.6421656499987
2018-01-27T08:00:00Z,11219,11329,11098,11167,-4.874960479999857
2018-01-27T09:00:00Z,11171,11326,11140,11287,238.23967099000035
2018-01-27T10:00:00Z,11287,11369,11172,11230,-69.74591233999938
2018-01-27T11:00:00Z,11230,11269,10800,10939,-863.0705312700077
2018-01-27T12:00:00Z,10941,11048,10889,10947,154.35134177999902
2018-01-27T13:00:00Z,10947,11080,10946,11050,-66.14800979999991
